file	Main Script	alphabet	Common	Latin	Greek	Cyrillic	Armenian	Hebrew	Arabic	Syriac	Thaana	Devanagari	Bengali	Gurmukhi	Gujarati	Oriya	Tamil	Telugu	Kannada	Malayalam	Sinhala	Thai	Lao	Tibetan	Myanmar	Georgian	Hangul	Ethiopic	Cherokee	Canadian_Aboriginal	Ogham	Runic	Khmer	Mongolian	Hiragana	Katakana	Bopomofo	Han	Yi	Old_Italic	Gothic	Deseret	Inherited	Tagalog	Hanunoo	Buhid	Tagbanwa	Limbu	Tai_Le	Linear_B	Ugaritic	Shavian	Osmanya	Cypriot	Braille	Buginese	Coptic	New_Tai_Lue	Glagolitic	Tifinagh	Syloti_Nagri	Old_Persian	Kharoshthi	Balinese	Cuneiform	Phoenician	Phags_Pa	Nko	Sundanese	Lepcha	Ol_Chiki	Vai	Saurashtra	Kayah_Li	Rejang	Lycian	Carian	Lydian	Cham	Tai_Tham	Tai_Viet	Avestan	Egyptian_Hieroglyphs	Samaritan	Lisu	Bamum	Javanese	Meetei_Mayek	Imperial_Aramaic	Old_South_Arabian	Inscriptional_Parthian	Inscriptional_Pahlavi	Old_Turkic	Kaithi	Batak	Brahmi	Mandaic	Chakma	Meroitic_Cursive	Meroitic_Hieroglyphs	Miao	Sharada	Sora_Sompeng	Takri	Unknown
agm-agm.txt	Latin	aɨ ihtnsopwmye udkr.gAjbIJ ŋSKN“”PO?MU’‘BGE:T0WRDY()127!453698HCŊl-	24	43																																																																																																					
agn-agn.txt	Latin	a ngiotm dselprbky .w-AuPJDMI“”TGS!KCO?NBhY‘’cEL:RFv0HāfzōqZ;()[]21xj5W/6—Uē79Q34	28	53																																																																																																					
agr-agr.txt	Latin	a iuntkmjesghw dcp .ybíAorTNúlJ:á“PD”WIMé¡!S¿?;fóvE—CUB‘Y’zGqLRHKF-OZQ()ÉxñÁÍVÚ28	20	61																																																																																																					
agt-agt.txt	Latin	a ntiukmge ydplsrw hobA.fHN“”ā-TPMKIzD?S‘’vBEGYLO:;RUF0Z()1!246*38W79[]5	28	44																																																																																																					
agu-aguBl.txt	Latin	 nai'tecuyljzokhsbwx .m rpqNẍJRCEMIK:YP—ATBSdúQLé”óíá“g?¿-fWGẌHv’¡!‘ODXZ;UF()217345680ñV9[]	31	60																																																																																																					
aia-aia.txt	Latin	a i'nour hmestgdw. bMGJIk-NA“l”RHpOPK?S!TEvjB‘’UDFWfL:();y—6c	18	43																																																																																																					
aii-aii.txt	Syriac	 ܵܐܝܘܼܠܢܹ ܗܲܡܕܒܸܬܪܟܫ،݂ܚܿ‌ܥ̈ܦ.ܩܣܓܙ̇ܛܔ”̣ܨ:“̰؟݇’؛‘̮̃!()-݁4	16							32																																	7																																																														
ake-akeNT.txt	Common	 a'nepɨiortʉk usmy w.PSMI“E”TKƗA?;U!‘’W:0—NR172()54O63Ʉ8⅓9Y/[]…-¼	33	32																																																																																																					
alp-alpNT.txt	Latin	 eaiklustmno rbp. hIAEwYdKjTyP“M”SLNHg!B?R‘’:DGfcO();0U][1-3/4J26FCz97	26	44																																																																																																					
alq-alqALGNT.txt	Latin	ia ndkgo8ejm ctbsp. KzMJA“”:NCOrPTl!I()h?Su‘’EéB0GDLyvHRèZqï142É[]üx5-f6;7F39ôUQë	27	54																																																																																																					
als-alsSHQ.txt	Latin	 ëteiarnhsdjuomkpl bg vq.fyzP;AZ:“J”KDçS’cMNIE?BT!GHULFxR-OÇV()QÉCYèX37ö‘	17	56																																																																																																					
aly-aly.txt	Latin	eran tklhwy- mgip .AsRIJuo“”N!KPMbTdG?ScEC’‘0vDLHBYW1:z7Z2x45jF;36U8O9fq[]()Q–	28	50																																																																																																					
ame-ameNT.txt	Latin	ae toʼñrphñcsm luy.̈ AÑYiPJT:qbú—dCEëNSgjOéM“”;¿?íváóf’BDFzHGIRL¡!Z()-kx‘QUÚü2	20	57																																							2																																																														
amf-amf.txt	Latin	a neiosd hkmytrbglwu.p qjBcYv;zKI“”O‘’?MAHEWT:SGP!NxDRQLZUC0()[]2 134J65879-f	28	49																																																																																																					
amk-amk.txt	Latin	a ineorutmw fsdkg hby.plAMYKWS“”NTID?PEFR!BH‘’j0:()G-LU;zOZ1[]24c653⅓7J8—…+¼⅟	32	45																																																																																																					
amm-amm.txt	Latin	o ianmkusl tyw .pNfKIM“A”UYTS?h;WPLHF0172O45[]6389-()	23	30																																																																																																					
amn-amn-amanab.txt	Latin	 ainegmfs louhbwk.At pdGySrE“”KJMN?PvH‘’0L!FIBO;T1DR2Y()4jW536:798U-[]	27	43																																																																																																					
amn-amn-n.txt	Latin	 aingemof suhlwbk.At pdGySEr“”KJMN?Pv‘’I0HLO!BF;T1DWYR2()4j536:798U-[]	27	43																																																																																																					
amo-amo.txt	Latin	 naiue ltkromsgdby w.hzfcpKNAYIUB”“vj'ẹ?MCSTLV!;FDG-HP:Rọ()EJZïü[Wå]qxOö0|4ṣà3úãāá/65òóùèëâẸī2é8ìą19`ēä	28	75																																																																																																					
amp-amp.txt	Latin	 aormhntikfuy es.dbwN pgBjJT“”YKl-RMW?ASP’‘IFH0DGO1!EL724:5U63()89v/	25	43																																																																																																					
amr-amrNT.txt	Latin	a oʼenikuṯpd hyrsm.gjbDKJ Hú—‍cOAlN“”CíMPéBSEI¿?vTzYf:óáUFGLRqZñx()V‘’¡!ÚQ	17	56																																							2																																																														
amu-amuNT.txt	Latin	 anꞌoeitⁿmc juys̱dwñl.qh xTJNrC:MêSâE—úQíp¿?béAPg”“áÑLfOîôóX’IUBvGDzYFWHRZÉk;()Á¡!	16	65																																							1																																																														
amx-amx.txt	Latin	e nrath klgwj-mip. yAsuJoNT“IK”R!PLMc?dbYCS‘’WEBvG0DzH1 xFZf:2547O;683q()U9'QV	27	51																																																																																																					
anh-anh.txt	Latin	  aɨmrnhŋekdibsgov.wzpuctA jyJñMOYNWHlKEPSU0IÑGŊFDBf()T:1R435L62|*C?ZV	17	53																																																																																																					
anv-anvNT.txt	Latin	 ́eaɔɛnm bgyuiwolksdt p.jfrhƐcNJŋMA“”GKY?PBDSUW‘’vTFIƆCLH*!:R;()ŊO-[]061354E278	27	51																																							1																																																														
aoi-aoi.txt	Latin	an riukwmg- eybldj. NJsAK“”BYEU•WM!?LD‘’RtCh0135792846*:()c;o	27	34																																																																																																					
aoj-aoj-filifita.txt	Latin	a inmeꞌos plfwdtbgu. hkEAGJrID”“NKB?PSMvFO’‘0W-!T1LH27RUj4y359[]86Y()	25	44																																																																																																					
aoj-aoj.txt	Latin	a inmꞌeospf lwgbdt.hu kAEGIJr“D”NK?POSBMvF‘’0WH-!T12L7RUj4y35[]986Y()c	25	45																																																																																																					
aom-aom.txt	Latin	 oaerhijumëꞌv ösbngd.-G:ËtIJARNlBMHpSPOKVwkcUDy0CTE1Öz2L74xZ 5F63[]98qfWQ	18	55																																																																																																					
aon-aon.txt	Latin	 aiunekrhosmp dywtbg.A IlJED“N”?-KSMUPvBjYf!‘’O0THFRG12L7W4536[]98;:	25	43																																																																																																					
apb-apb.txt	Latin	 aeionulm' khtrsg w.dp-ONJAMG“KT?”I!PHLESUDb1:‘’2RvB3Wj4650987()fF—ZCy	26	44																																																																																																					
ape-apeB.txt	Latin	 aunieklhompc ydbwtgs. AGrJNED“”WvIK-SYPM?UfOBC!H0‘’jFLT12743R56[]98:;()	27	45																																																																																																					
ape-apec.txt	Latin	 aiunekrhosmp dywtbg.A IlJED“N”?-KSMUPvBjYf!‘’O0THFRG12L7W4536[]98;:	25	43																																																																																																					
apn-apnNT.txt	Latin	 amhnẽrktpãxoij ĩêe.uwỳũàôNyõTỹJsKgAH:—MPIE?ÃRSX“”0fG1WO2d7F456UÕ3‘’8ỲáÊÀỸĨẼÔ;l9Ũ	21	60																																																																																																					
apr-apr.txt	Latin	 anoietglkum ydpbr s.wMNYI“LAT”BKP?SDO!‘’ERG0; :()1U4526379W8	25	36																																																																																																					
apu-apuNT.txt	Latin	ia ktonre psãm.uxĩ IThXõA—K!NP:ẽHEM“”?SÃOvUéóíĨáÁÉ‘’Õd()Ó6-VẼ	16	45																																																																																																					
apw-apwNT.txt	Latin	 ai’hídone ágsłbtykléįṉ zą̨cwń.úóBuJrÁǫ:D;NSm?CHjpPTYIGAMŁKEvOÍZL()‐!xýRÉęFfĄÓWqŃĮUṈėṅżųÚQ—ǵọǪ	13	80																																							1																																																														
apy-apyNT.txt	Latin	 oaertykmpnihusõ. xã zMẽRwjTĩJY:OũKAIE—P“ỹ”SN?;Z!0X1H27U-45W3‘’6)Õ(Ã8ỸẼ9fĨ½⅕¼F%/¾vQL	32	52																																																																																																					
apz-apz.txt	Latin	o nhamsekuꞌiɨwty fglp.jOA JNHSKIMPETUYW0FL()-14253[]967G:8Ɨ	20	39																																																																																																					
arb-arb-vd.txt	Arabic	َ ِْلُايومنّربٱهعتأكفسد ق.،حجةذإًشخىصٍطضئثٌ:زء«»غآظ؟ؤ!-()	12						37																																		8																																																														
arb-arbnav.txt	Arabic	َ ِاْلُيمونّربهتعأكفدسق ،حة.جإذشىًخصٍطضثئزء:ٌغ«»آظ؟ؤ!()؛-[]“”915	20						36																																		8																																																														
are-are.txt	Latin	a rntkilheu gjmp. owyAs-EJKR“”INLPY?dTbMcUS‘'’0BCvH!W1GzD2x7f4Z5F3O$6:()q89/[]Q	29	50																																																																																																					
arl-arlNT.txt	Latin	ai unjroecstq yhpm. NPJCMS:ldQ—T¡!¿?b“”éRAgIí’áFvBóEDGHzfLZ‘;OÉxúUkÁ()VYÓ	17	56																																																																																																					
arn-arnNT.txt	Latin	 eainutlmkü ywfñgrphoc ds.FNJ:KWCP—TI“¿?ÑEAM”bLS¡!Rj‘’DBGv―Y-OÜ();UH	19	49																																																																																																					
arp-arp.txt	Latin	 aeunh dtā svjwgN.cyHi;:r?kJVoDmlGbSMWPCAEpzIZ()LTBOYRUx-Ā	10	48																																																																																																					
asm-asmfb.txt	Bengali	 ৰািকেতলো্নযবমুপসহদআ়ই  ওঁজচ।ৱীৈগশছথধএঅ’ষণখটভ;ূউরঠৃ-“”ফঘঈং?ডঞ৷ঙৎৌঢ!‘:ঃঐ‌()ঊ[]ঔঋ–0ঝ‍17ˮ534.—2	28										62																														2																																																														
aso-aso.txt	Latin	 einoꞌalmgvu szdthk.-bIpON:AGLZ EMKSPHV0T()fDB1245637U98][cF	20	40																																																																																																					
ata-ata.txt	Latin	 aiuonlemxstꞌ vgk. pILAXMN“”TEK?SPUVdO‘’0r!()DBb1R2-5437698FfG[]H–Zz	26	42																																																																																																					
atb-atbNT.txt	Latin	" gnahumy iél tqkosrâeôbáûîp.dêúówùjzYHí-cN""Gòìà;è?S'AMBPxW!LCTDKZRÎEIJ():0ÂÓUO1Ê2QÍ‑XÉ4Ô6À…9ÙÚ8"	22	73																																																																																																					
atd-atdNT.txt	Latin	 oanigktud smwblypr .h-HMNKD“S”PIAWòOL–BT?Ge‘’;UE!R:04ìJ[]16()2qY	23	42																																																																																																					
atg-atgNT.txt	Latin	 iaeẹọh nlogumbksyr .tpdwfIAẸ-JỌEz“”vOMK?jPŚ!c‘’UáGNLFRZBTDW0Y()̀:ó;V1à2[]̣éÁ4Ò6āÀò5ōú̌Ó739CÉèÚÈùĀ	26	69																																							4																																																														
att-att.txt	Latin	 aniguákmty rplùsd bew.oÁâòNAKàèj“”ìMTPíúS?YIE!-JûG‘’DBL:WURO0î2()41;7	20	50																																																																																																					
auc-aucNT.txt	Latin	 naeitöæmoäïgdëpc uwqb̈ñ .yWAMIBTÏEPC—“”ÆNOÄÖGDÑQ‘’ËYh	9	44																																							1																																																														
aui-aui.txt	Latin	a in oekdubrwmygtshv p.BGlY”“NWTKJMISAPR!?EjD0’‘;H1-:L742O()5U36fZ89V'x	26	45																																																																																																					
auy-auy.txt	Latin	a ánmiswí ekꞌtoéró-yubfúp.MdÍgKYSPFTÉÁNWA0RUÓIE1 Ú42536O78()9[]	19	44																																																																																																					
avt-avt.txt	Latin	 eanɨkimrth pwusy.o HdGMlJT“Y”IK:N?SP!b()vAE‘’Wf0gF1BDR2L74O5j63[]Ɨ89U-;	27	45																																																																																																					
awb-awb.txt	Latin	 aenrhiá wétíkqsmobugp.óúMSy AÍWIPKNTÁ?ÉÚE0UOÓ1425()3[]6789B	19	41																																																																																																					
awk-awk.txt	Latin	  aniukolrtbġwye mȧṗ.-úĠéh;áóWYgKPEId?M:T!AUGBNHDL()j“”*cOsćȯJ	14	48																																							1																																																														
awx-awx.txt	Latin	  änaiukgetwmypl d.oshxbTrA“”JIGNKYSHM?BULR‘’E0WPDÄ17Of25-34968Fv!();:j	25	46																																																																																																					
azb-azb.txt	Latin	 aənirldımsuybüetoqkz şv. högçcxğpAOBMRfYİ:S«»-Q?DEHŞ!ÇXPGƏN“”KÖLT–;FZÜVUC0j‹›251436789…()	29	61																																																																																																					
azg-azgNT.txt	Latin	n aꞌoitjueyh scdq m.ëñvüxNJgTörM:lúáCíE—́bSAé“p¿?IPQ”YXOóUVfBDGzFLRHZÑkÉ();	13	61																																							1																																																														
azz-azzNT.txt	Latin	 ainuetcojmhsql yp.zírdHxó DTJPúgb:YIáCNé―MA?¿SXE“”vf;BQFGLROZ¡!ñkU()	15	54																																																																																																					
bao-baoNT.txt	Latin	 airecʉoj tmunpã b̃ĩwyñ.dgsqJTPɄ—õ”MC:“éAúílũYáÑ¿?W'BẽNDOS¡!óvIEf‘’;hGFzHUĨLRZÉ()xÕkQÃÚÍ́51Ũ7V	21	71																																							2																																																														
bba-bba.txt	Latin	 ɑnuiɔkbesrmɛwoyd̃.ɡ t pYl̀GMABĩùSNIfDKWUEhTH0è?LPì()ũRFǹ1O2“”ƐÀ35!4678[]9ǸƆÌÙò́;	23	55																																							3																																																														
bbb-bbb.txt	Latin	 eaiuonrjkfmbv dgs.RItJzGA EFNBKMS?()-0DTV12ZUO47356!98:c/–Pl	22	39																																																																																																					
bbr-bbr.txt	Latin	 aokrinues mtäpw .AKjJI“”NlOUR?MPdS‘’bEv0!TWh1ÄgBG32D7F4LH()-f5:][689;x	27	44																																																																																																					
bch-bch.txt	Latin	a inegotduml pskbr. IBTDG“EM”NAKP?SOL!‘’:vR()w0jJ1Uy-32f54769Y8W	24	40																																																																																																					
bco-bco.txt	Latin	꞉a  olinemdskguybw tf.hGAYKNMF“E”ISBTHD?L‘’!O0WP()4253U76-1p	22	38																																																																																																					
bdd-bdd.txt	Latin	a ieꞌownum thyglsdb p.YMTC“”BkSPKW?HGENL’A‘I!D:()O*;-4162U0385	24	38																																																																																																					
bea-bea.txt	Latin	  ahtioenyuckslg w.mdKzA:J;Tr-?NOMSHPCYpjIGEbvDBU()!ZWLfxR	11	47																																																																																																					
bef-bef.txt	Latin	 aioenluhꞌtmg bkfsyp.YTH :KALSB?NMEPFOIG0127453U689;d	17	36																																																																																																					
bel-bel.txt	Cyrillic	 аінсояыедрлвмзук цпьтўбг хшчй.эюжёІ;:ГЯАБМС-Т?ЁДЕХВфПН!КЭЮЦ«»УЗРЛФШ'ЧОЖ()Ў9	15			61																																																																																																			
ben-ben2017.txt	Bengali	 োরি্নতকবযমদলসপ়ুো আ শজহছএ।গইীথখওভধষংচঅটঁণডউূ;ফঙৃ“”ঠঈঘ?ৈৎঞৌ৷-ঝঐঢ!ঃ‌‘’()[]:ঊঋঔ–1230.p458	26	1									60																														1																																																														
beo-beo.txt	Latin	a ieodlumgns:bh f. wAGDENHBIY!yS“”M()?‘’LF0OW12-345Ut67r89`;/[]Kc%=–kPxqpC	32	42																																																																																																					
beu-beu.txt	Latin	a neg iumtlbhso r.vdkApjY-NELB“!”SIPMHKꞌTR?UVFOGfD(y):0;wJ 135927[]c864WzCx	26	49																																																																																																					
bgs-bgs.txt	Latin	 anitgukdsm álôpb ró.yéàoewùMIJAPì“T”ÁNSh-DECcKBU?!G()0LRY‘’H1fq2vF4zêO3ÓW5jZ796:8[]xÌÔQ	26	62																																																																																																					
bgt-bgt.txt	Latin	 aineogkhutm rvdls. bpGIJKfMT“NjA”SELO?P!RVD‘’BFH:w()cU;'yQ-ZC	16	46																																																																																																					
bhg-bhg.txt	Latin	 aieodn mrtbsguw p.kjEAyvéG“I”lJh()Y!PBNM?1KáD’‘S20OR:TcH3CzL;xZ547WUǃF6V9ó8ú—q -f…Q	28	56																																																																																																					
bhl-bhl.txt	Latin	 ekianlmouwbts  gdyf.!KSY“”:-GNFA?BD’‘MIEWUT0O()14253'69ó7—8;éq	27	36																																																																																																					
big-big.txt	Latin	 iaekgnolyuwmp rzbts. YAKdPTNLMIWS?E’ROJ0U12F54673G9—-f8Bc	18	40																																																																																																					
bjk-bjk.txt	Latin	 aneioömrut bxgslkd .wpMIGJ“”AKTEN?POSB‘’!LÖR:XDU()jvW0-14[]26fyh3H	22	45																																																																																																					
bjp-bjp.txt	Latin	 aineukl rtosfmg pb.wIKdhG“M”FATPNSB?RWJO!‘’E:LyDUj()Y6-H	15	42																																																																																																					
bjr-bjr.txt	Latin	a inqomreufskd .tAMYíbp IQSKwOFPáNDREhTB0gyU()1724563H8̱9cl]W[vG|*́ó;-	22	46																																							2																																																														
bjv-bjvNT.txt	Latin	 ɨaənek tdjliomgrɔ s-̰u.wbyɓLJNṕ:«»KMDTGEAPBƁ?*ƏSƗR“”!IO;UhƆé()Y[]0‹›W1642…53	28	48																																							2																																																														
bjz-bjz.txt	Latin	a eiourngtdmb  ́vskh.f-AjGIyK!J“”NlTEMSUP*?D̃FB‘’ROp0:1Y2HL4()V376589w…c/q	27	45																																							2																																																														
bkd-bkd.txt	Latin	a nuihg dstmeklywpbà.ro-DSìJ“ù ABI”MTKPHC?GNc‘’LEFèfvUzRZOj142x0W6:Y53798	21	52																																																																																																					
bki-bki.txt	Latin	 aioneukmrlbtv  jgs̃p.dAMNKYy“T”J?VPBLES!-I‘’R[]0 :ṽ12O4U3;D57689w½G	27	40																																							1																																																														
bkq-bkqNT.txt	Latin	 eaâyonmuidrl tkwgs. hpbzDxJA—-TIjK:Â“”PMC;éSEXãY!Uc?vWáNBOfüq‘’FRíGóHL()ôZʼêúÁ0Q{}ç[]VÉ12ÚÊõ	24	69																																																																																																					
bkx-bkx.txt	Latin	  naeiosumtkꞌl fh.bpMJ-IA!N“”UOrHKjdS?EFLP‘’BgG:YTvD]()[ ;RwyW	18	44																																																																																																					
bla-bla.txt	Latin	 isat k'ounĭpmeŭ xŏ.Kyhĕ;rAJ:ălNSw?ITPdbOMcEŬCBGv!HzDU-gæZR()ŎĬfXWōǓǏLãśĔjQӐY	12	64		1																																																																																																			
blw-blw.txt	Latin	a nhyeimgct uowépsrlkdf- .àAYJbW“”TNCHPùMEèìòSIê‘’FvGKOBLDRzUZ̀jÉx!()Ù[]ñ0q91	17	59																																							1																																																														
blz-blzNT.txt	Latin	a niou'mk setlgrpbd. yKwY-AIMTN“”PS!hG?RBL:‘’WUjDFfHEzOZ;()c[]J609—24	24	45																																																																																																					
bmh-bmh.txt	Latin	 auiengmol bs tdzr.wpkUGcAhIYDZ“”BNKP?EM’‘SWT!OvH0()-LR4:1][26359;87F	27	42																																																																																																					
bmk-bmk.txt	Latin	 a ineuokmvrtsygbwd hp.MY“”KTBIlJ?!*APVSNWR’‘GD01H2E:j—f();5-OzL364F7U[9]	28	45																																																																																																					
bmr-bmrNT.txt	Latin	aoi ɨuncme hjtbrsgdfv.Jl yMñq:pAC¿?TIPSGNDUBFEƗ;¡!zOHLZRxkQVÑ-	11	51																																																																																																					
bmu-bmu.txt	Latin	 aöiemŋknugtl rboswph.jyzqd MAKJ“”NS:ITGBY?-()‘’PUEO!f0QÖLDF1WHR7245Z3689%;vC/	27	51																																																																																																					
bnp-bnp.txt	Latin	 ainuerokmltgvh  b.psIdAVMEN“BKPOD”GRLSH?T0‘’!-:1­()25;34679U8J¼	27	37																																																																																																					
boa-boaNT.txt	Latin	 eéáíatmyjúhu incdbɨsvóroĺk.pwñÁAPM:TJ E—¿?Cg“”ÍD‘’0-NƗIHB¡!LÉ1ÓOGR27U43W5ÚK68Ñ;9	26	55																																							1																																																														
boj-boj.txt	Latin	 aieoqngsmub ŋrtljd.ykw QANYOD“TpK”EñIJBM?SP‘’G0UFLŊh1vWH2R7f45!Ñ6389()	22	49																																																																																																					
boj-boj2014.txt	Latin	 aieoqngsmub ŋrtljd.ykw QANYOD“TpK”EñIJBM?SP‘’G0UFLŊh1vWH2R7f45!Ñ6389()	22	49																																																																																																					
bon-bon.txt	Latin	e ianmucbtgä plojry sw.dkYAPTC“M”SBIKW?!NL;‘’EG-Oh:DfRHÄUJF()–6901[]—	23	46																																																																																																					
box-boxNT.txt	Latin	 áinèou ̃lwbmyhɓkrɛs.  tdzɔp-ɲfDcvMO:YLB«KA»*HƁZ?IPƝWSNƐF‹›!ETU[]CV();6	20	50																																							3																																																														
bpr-bpr.txt	Latin	 andiul tmgekosy fb.éwàDèNòhùrTê“K”BMASIF-?PLYGì‘’pHER0()!O:21ÉU46—W573	23	48																																																																																																					
bps-bps.txt	Latin	 anidlugetmk osf yb.wàDéèNòhrùKT“”AIFMêS?ìLGBH‘’!;ÉEROp()Y:U2W	15	47																																																																																																					
bqc-bqcsim.txt	Latin	 aɛíↄ̃̀nulkobpsmge w d.zytADMLvfY:'ƆKGIBNST?WZƐE!P0Fh()OUH2V15347689ʼ	21	46																																							3																																																														
bqp-bqp.txt	Latin	 nauikɛ̃ɑbrseↄdmog .tpɔ wàyl̀́ìòázĩYíAńMDfóGùLK:BvSúIÀNè?T'ǹǸÒZWhPUḿE!ƐFHéO0RÁÓŃũ()ƆĨV12Í*365478É-9ÌÃ;Ú“”	25	77																																							3																																																														
bre-breBRG.txt	Latin	 ea northduzlisvg mk'bñcp.-w:ùfJ;jMAHD?PNESRyêGKTY!BLZICOVU[]Fü()WÑ=	15	53																																																																																																					
bsj-bsj.txt	Latin	" ianeok muwrbcytlgd .fhsYKLNB-?TC”“MDA'WIjFGSHzŪ(!);pJRvõẽ:—OEũZP0ãƙé[]úýqɗ4x261ó/5̂""ōū3áồḿŕēǵ{}=`̃ɓ́9ǝüíñîĺẃ7"	32	75																																							5																																																														
bsn-bsnNT.txt	Latin	 arioeʉjms nyctĩbu ãg.ñẽõdTq̃v”“DũJ—ú:M'ĨlYCRASGPpQ‘’¿?éBáENÑɄVózüIfh́FOH¡!LÃZÕ;Áx()kUŨ6ÉẼ	19	69																																							2																																																														
bsp-bsp.txt	Latin	 a kɔəɛnmŋtresuiodlycp fwb.K-Y:A'’M«»NShgIP!TBW?HDERLF‹›0;ŊC()1Ɛ4O32597G68—ƆUv	28	50																																																																																																					
bss-bssNT.txt	Latin	 ́eanbɛmd olyɔ̄istw̌gkĥə ŋ.uʼ-pcDNArBzMY“E”SK?HPJIT‘’C!fWGLFRj'v()Z;ƐO:U[910]	22	52																																							4																																																														
