char	count	code	unicode_hex	name	script	cat	bytes	bidi	combining	eaw	mirrored
т	549720	1090	442	CYRILLIC SMALL LETTER TE	Cyrillic	Ll	2	L	0	A	0
य	546784	2351	92F	DEVANAGARI LETTER YA	Devanagari	Lo	3	L	0	N	0
ु	535358	2369	941	DEVANAGARI VOWEL SIGN U	Devanagari	Mn	3	NSM	0	N	0
ে	530160	2503	9C7	BENGALI VOWEL SIGN E	Bengali	Mc	3	L	0	N	0
ν	529451	957	3BD	GREEK SMALL LETTER NU	Greek	Ll	2	L	0	A	0
ũ	527289	361	169	LATIN SMALL LETTER U WITH TILDE	Latin	Ll	2	L	0	N	0
U	524352	85	55	LATIN CAPITAL LETTER U	Latin	Lu	1	L	0	Na	0
ി	517319	3391	D3F	MALAYALAM VOWEL SIGN I	Malayalam	Mc	3	L	0	N	0
ي	515406	1610	64A	ARABIC LETTER YEH	Arabic	Lo	2	AL	0	N	0
س	512121	1587	633	ARABIC LETTER SEEN	Arabic	Lo	2	AL	0	N	0
ു	511721	3393	D41	MALAYALAM VOWEL SIGN U	Malayalam	Mn	3	NSM	0	N	0
—	507142	8212	2014	EM DASH	Common	Pd	3	ON	0	A	0
с	501889	1089	441	CYRILLIC SMALL LETTER ES	Cyrillic	Ll	2	L	0	A	0
τ	496146	964	3C4	GREEK SMALL LETTER TAU	Greek	Ll	2	L	0	A	0
꞉	494686	42889	A789	MODIFIER LETTER COLON	Common	Sk	3	L	0	N	0
प	493547	2346	92A	DEVANAGARI LETTER PA	Devanagari	Lo	3	L	0	N	0
ု	484205	4143	102F	MYANMAR VOWEL SIGN U	Myanmar	Mn	3	NSM	0	N	0
ိ	474480	4141	102D	MYANMAR VOWEL SIGN I	Myanmar	Mn	3	NSM	0	N	0
ക	474357	3349	D15	MALAYALAM LETTER KA	Malayalam	Lo	3	L	0	N	0
д	472498	1076	434	CYRILLIC SMALL LETTER DE	Cyrillic	Ll	2	L	0	A	0
¹	471981	185	B9	SUPERSCRIPT ONE	Common	No	2	EN	0	A	0
ο	469222	959	3BF	GREEK SMALL LETTER OMICRON	Greek	Ll	2	L	0	A	0
ø	468737	248	F8	LATIN SMALL LETTER O WITH STROKE	Latin	Ll	2	L	0	A	0
י	462634	1497	5D9	HEBREW LETTER YOD	Hebrew	Lo	2	R	0	N	0
্	461066	2509	9CD	BENGALI SIGN VIRAMA	Bengali	Mn	3	NSM	9	N	0
ʌ	444699	652	28C	LATIN SMALL LETTER TURNED V	Latin	Ll	2	L	0	N	0
ו	437995	1493	5D5	HEBREW LETTER VAV	Hebrew	Lo	2	R	0	N	0
‍	437855	8205	200D	ZERO WIDTH JOINER	Inherited	Cf	3	BN	0	N	0
ش	433228	1588	634	ARABIC LETTER SHEEN	Arabic	Lo	2	AL	0	N	0
ब	427886	2348	92C	DEVANAGARI LETTER BA	Devanagari	Lo	3	L	0	N	0
ì	426347	236	EC	LATIN SMALL LETTER I WITH GRAVE	Latin	Ll	2	L	0	A	0
द	424470	2342	926	DEVANAGARI LETTER DA	Devanagari	Lo	3	L	0	N	0
­	424300	173	AD	SOFT HYPHEN	Common	Cf	2	BN	0	A	0
ေ	419337	4145	1031	MYANMAR VOWEL SIGN E	Myanmar	Mc	3	L	0	N	0
ি	415242	2495	9BF	BENGALI VOWEL SIGN I	Bengali	Mc	3	L	0	N	0
ত	414111	2468	9A4	BENGALI LETTER TA	Bengali	Lo	3	L	0	N	0
ک	414051	1705	6A9	ARABIC LETTER KEHEH	Arabic	Lo	2	AL	0	N	0
‑	407923	8209	2011	NON-BREAKING HYPHEN	Common	Pd	3	ON	0	N	0
း	406628	4152	1038	MYANMAR SIGN VISARGA	Myanmar	Mc	3	L	0	N	0
ത	402004	3364	D24	MALAYALAM LETTER TA	Malayalam	Lo	3	L	0	N	0
õ	400854	245	F5	LATIN SMALL LETTER O WITH TILDE	Latin	Ll	2	L	0	N	0
သ	397599	4126	101E	MYANMAR LETTER SA	Myanmar	Lo	3	L	0	N	0
м	396307	1084	43C	CYRILLIC SMALL LETTER EM	Cyrillic	Ll	2	L	0	A	0
ô	395802	244	F4	LATIN SMALL LETTER O WITH CIRCUMFLEX	Latin	Ll	2	L	0	N	0
 	395405	8239	202F	NARROW NO-BREAK SPACE	Common	Zs	3	CS	0	N	0
̈	395210	776	308	COMBINING DIAERESIS	Inherited	Mn	2	NSM	230	A	0
୍	394754	2893	B4D	ORIYA SIGN VIRAMA	Oriya	Mn	3	NSM	9	N	0
ε	393984	949	3B5	GREEK SMALL LETTER EPSILON	Greek	Ll	2	L	0	A	0
ं	391798	2306	902	DEVANAGARI SIGN ANUSVARA	Devanagari	Mn	3	NSM	0	N	0
က	390671	4096	1000	MYANMAR LETTER KA	Myanmar	Lo	3	L	0	N	0
ા	388275	2750	ABE	GUJARATI VOWEL SIGN AA	Gujarati	Mc	3	L	0	N	0
ǝ	382604	477	1DD	LATIN SMALL LETTER TURNED E	Latin	Ll	2	L	0	N	0
व	373524	2357	935	DEVANAGARI LETTER VA	Devanagari	Lo	3	L	0	N	0
ı	372347	305	131	LATIN SMALL LETTER DOTLESS I	Latin	Ll	2	L	0	A	0
ক	369985	2453	995	BENGALI LETTER KA	Bengali	Lo	3	L	0	N	0
க	367315	2965	B95	TAMIL LETTER KA	Tamil	Lo	3	L	0	N	0
F	365890	70	46	LATIN CAPITAL LETTER F	Latin	Lu	1	L	0	Na	0
တ	356058	4112	1010	MYANMAR LETTER TA	Myanmar	Lo	3	L	0	N	0
ه	355292	1607	647	ARABIC LETTER HEH	Arabic	Lo	2	AL	0	N	0
ാ	355171	3390	D3E	MALAYALAM VOWEL SIGN AA	Malayalam	Mc	3	L	0	N	0
।	350196	2404	964	DEVANAGARI DANDA	Common	Po	3	L	0	N	0
к	349390	1082	43A	CYRILLIC SMALL LETTER KA	Cyrillic	Ll	2	L	0	A	0
த	347658	2980	BA4	TAMIL LETTER TA	Tamil	Lo	3	L	0	N	0
в	346645	1074	432	CYRILLIC SMALL LETTER VE	Cyrillic	Ll	2	L	0	A	0
ା	344263	2878	B3E	ORIYA VOWEL SIGN AA	Oriya	Mc	3	L	0	N	0
ה	343094	1492	5D4	HEBREW LETTER HE	Hebrew	Lo	2	R	0	N	0
ò	342329	242	F2	LATIN SMALL LETTER O WITH GRAVE	Latin	Ll	2	L	0	A	0
မ	341960	4121	1019	MYANMAR LETTER MA	Myanmar	Lo	3	L	0	N	0
ּ	341596	1468	5BC	HEBREW POINT DAGESH OR MAPIQ	Hebrew	Mn	2	NSM	21	N	0
ন	336753	2472	9A8	BENGALI LETTER NA	Bengali	Lo	3	L	0	N	0
า	335479	3634	E32	THAI CHARACTER SARA AA	Thai	Lo	3	L	0	N	0
‘	334782	8216	2018	LEFT SINGLE QUOTATION MARK	Common	Pi	3	ON	0	A	0
র	332907	2480	9B0	BENGALI LETTER RA	Bengali	Lo	3	L	0	N	0
യ	330203	3375	D2F	MALAYALAM LETTER YA	Malayalam	Lo	3	L	0	N	0
ʻ	328002	699	2BB	MODIFIER LETTER TURNED COMMA	Common	Lm	2	L	0	N	0
א	327678	1488	5D0	HEBREW LETTER ALEF	Hebrew	Lo	2	R	0	N	0
ৰ	324521	2544	9F0	BENGALI LETTER RA WITH MIDDLE DIAGONAL	Bengali	Lo	3	L	0	N	0
င	319988	4100	1004	MYANMAR LETTER NGA	Myanmar	Lo	3	L	0	N	0
్	317061	3149	C4D	TELUGU SIGN VIRAMA	Telugu	Mn	3	NSM	9	N	0
ّ	310211	1617	651	ARABIC SHADDA	Inherited	Mn	2	NSM	33	N	0
ਾ	309133	2622	A3E	GURMUKHI VOWEL SIGN AA	Gurmukhi	Mc	3	L	0	N	0
،	308857	1548	60C	ARABIC COMMA	Common	Po	2	CS	0	N	0
ع	307121	1593	639	ARABIC LETTER AIN	Arabic	Lo	2	AL	0	N	0
ு	305726	3009	BC1	TAMIL VOWEL SIGN U	Tamil	Mc	3	L	0	N	0
ग	305427	2327	917	DEVANAGARI LETTER GA	Devanagari	Lo	3	L	0	N	0
ָ	303829	1464	5B8	HEBREW POINT QAMATS	Hebrew	Mn	2	NSM	18	N	0
ق	302240	1602	642	ARABIC LETTER QAF	Arabic	Lo	2	AL	0	N	0
п	302132	1087	43F	CYRILLIC SMALL LETTER PE	Cyrillic	Ll	2	L	0	A	0
़	301721	2364	93C	DEVANAGARI SIGN NUKTA	Devanagari	Mn	3	NSM	7	N	0
ְ	300869	1456	5B0	HEBREW POINT SHEVA	Hebrew	Mn	2	NSM	10	N	0
ọ	300085	7885	1ECD	LATIN SMALL LETTER O WITH DOT BELOW	Latin	Ll	3	L	0	N	0
য	298304	2479	9AF	BENGALI LETTER YA	Bengali	Lo	3	L	0	N	0
ל	296664	1500	5DC	HEBREW LETTER LAMED	Hebrew	Lo	2	R	0	N	0
ನ	296079	3240	CA8	KANNADA LETTER NA	Kannada	Lo	3	L	0	N	0
ు	295928	3137	C41	TELUGU VOWEL SIGN U	Telugu	Mc	3	L	0	N	0
ↄ	294208	8580	2184	LATIN SMALL LETTER REVERSED C	Latin	Ll	3	L	0	N	0
ι	292900	953	3B9	GREEK SMALL LETTER IOTA	Greek	Ll	2	L	0	A	0
ର	292540	2864	B30	ORIYA LETTER RA	Oriya	Lo	3	L	0	N	0
ī	287716	299	12B	LATIN SMALL LETTER I WITH MACRON	Latin	Ll	2	L	0	A	0
ે	286548	2759	AC7	GUJARATI VOWEL SIGN E	Gujarati	Mn	3	NSM	0	N	0
ज	286057	2332	91C	DEVANAGARI LETTER JA	Devanagari	Lo	3	L	0	N	0
ా	285857	3134	C3E	TELUGU VOWEL SIGN AA	Telugu	Mn	3	NSM	0	N	0
ి	282024	3135	C3F	TELUGU VOWEL SIGN I	Telugu	Mn	3	NSM	0	N	0
വ	280284	3381	D35	MALAYALAM LETTER VA	Malayalam	Lo	3	L	0	N	0
ɩ	280033	617	269	LATIN SMALL LETTER IOTA	Latin	Ll	2	L	0	N	0
న	271115	3112	C28	TELUGU LETTER NA	Telugu	Lo	3	L	0	N	0
್	270315	3277	CCD	KANNADA SIGN VIRAMA	Kannada	Mn	3	NSM	9	N	0
ര	270193	3376	D30	MALAYALAM LETTER RA	Malayalam	Lo	3	L	0	N	0
⁴	269249	8308	2074	SUPERSCRIPT FOUR	Common	No	3	EN	0	A	0
ς	267667	962	3C2	GREEK SMALL LETTER FINAL SIGMA	Greek	Ll	2	L	0	N	0
ி	265654	3007	BBF	TAMIL VOWEL SIGN I	Tamil	Mc	3	L	0	N	0
ئ	261697	1574	626	ARABIC LETTER YEH WITH HAMZA ABOVE	Arabic	Lo	2	AL	0	N	0
ك	261010	1603	643	ARABIC LETTER KAF	Arabic	Lo	2	AL	0	N	0
Z	260926	90	5A	LATIN CAPITAL LETTER Z	Latin	Lu	1	L	0	Na	0
့	259657	4151	1037	MYANMAR SIGN DOT BELOW	Myanmar	Mn	3	NSM	7	N	0
î	254363	238	EE	LATIN SMALL LETTER I WITH CIRCUMFLEX	Latin	Ll	2	L	0	N	0
ು	254190	3265	CC1	KANNADA VOWEL SIGN U	Kannada	Mc	3	L	0	N	0
श	253549	2358	936	DEVANAGARI LETTER SHA	Devanagari	Lo	3	L	0	N	0
σ	253387	963	3C3	GREEK SMALL LETTER SIGMA	Greek	Ll	2	L	0	A	0
ә	253041	1241	4D9	CYRILLIC SMALL LETTER SCHWA	Cyrillic	Ll	2	L	0	N	0
V	251933	86	56	LATIN CAPITAL LETTER V	Latin	Lu	1	L	0	Na	0
ম	248647	2478	9AE	BENGALI LETTER MA	Bengali	Lo	3	L	0	N	0
ရ	246908	4123	101B	MYANMAR LETTER RA	Myanmar	Lo	3	L	0	N	0
ল	240872	2482	9B2	BENGALI LETTER LA	Bengali	Lo	3	L	0	N	0
െ	240189	3398	D46	MALAYALAM VOWEL SIGN E	Malayalam	Mc	3	L	0	N	0
ಿ	238824	3263	CBF	KANNADA VOWEL SIGN I	Kannada	Mn	3	L	0	N	0
¿	237718	191	BF	INVERTED QUESTION MARK	Common	Po	2	ON	0	A	0
ù	237383	249	F9	LATIN SMALL LETTER U WITH GRAVE	Latin	Ll	2	L	0	A	0
ି	237204	2879	B3F	ORIYA VOWEL SIGN I	Oriya	Mn	3	NSM	0	N	0
ʋ	235888	651	28B	LATIN SMALL LETTER V WITH HOOK	Latin	Ll	2	L	0	N	0
κ	235720	954	3BA	GREEK SMALL LETTER KAPPA	Greek	Ll	2	L	0	A	0
ַ	234560	1463	5B7	HEBREW POINT PATAH	Hebrew	Mn	2	NSM	17	N	0
ẹ	233857	7865	1EB9	LATIN SMALL LETTER E WITH DOT BELOW	Latin	Ll	3	L	0	N	0
ြ	232998	4156	103C	MYANMAR CONSONANT SIGN MEDIAL RA	Myanmar	Mc	3	L	0	N	0
ρ	232453	961	3C1	GREEK SMALL LETTER RHO	Greek	Ll	2	L	0	A	0
น	231907	3609	E19	THAI CHARACTER NO NU	Thai	Lo	3	L	0	N	0
ா	231146	3006	BBE	TAMIL VOWEL SIGN AA	Tamil	Mc	3	L	0	N	0
ੇ	230187	2631	A47	GURMUKHI VOWEL SIGN EE	Gurmukhi	Mn	3	NSM	0	N	0
б	227892	1073	431	CYRILLIC SMALL LETTER BE	Cyrillic	Ll	2	L	0	A	0
)	227737	41	29	RIGHT PARENTHESIS	Common	Pe	1	ON	0	Na	1
(	227536	40	28	LEFT PARENTHESIS	Common	Ps	1	ON	0	Na	1
ר	226525	1512	5E8	HEBREW LETTER RESH	Hebrew	Lo	2	R	0	N	0
я	226463	1103	44F	CYRILLIC SMALL LETTER YA	Cyrillic	Ll	2	L	0	A	0
ɗ	226454	599	257	LATIN SMALL LETTER D WITH HOOK	Latin	Ll	2	L	0	N	0
્	222477	2765	ACD	GUJARATI SIGN VIRAMA	Gujarati	Mn	3	NSM	9	N	0
ব	221966	2476	9AC	BENGALI LETTER BA	Bengali	Lo	3	L	0	N	0
ू	221867	2370	942	DEVANAGARI VOWEL SIGN UU	Devanagari	Mn	3	NSM	0	N	0
େ	221430	2887	B47	ORIYA VOWEL SIGN E	Oriya	Mc	3	L	0	N	0
န	220233	4116	1014	MYANMAR LETTER NA	Myanmar	Lo	3	L	0	N	0
പ	219536	3370	D2A	MALAYALAM LETTER PA	Malayalam	Lo	3	L	0	N	0
ы	219437	1099	44B	CYRILLIC SMALL LETTER YERU	Cyrillic	Ll	2	L	0	A	0
आ	219184	2310	906	DEVANAGARI LETTER AA	Devanagari	Lo	3	L	0	N	0
ร	219006	3619	E23	THAI CHARACTER RO RUA	Thai	Lo	3	L	0	N	0
ִ	218070	1460	5B4	HEBREW POINT HIRIQ	Hebrew	Mn	2	NSM	14	N	0
ત	217851	2724	AA4	GUJARATI LETTER TA	Gujarati	Lo	3	L	0	N	0
ב	216940	1489	5D1	HEBREW LETTER BET	Hebrew	Lo	2	R	0	N	0
ન	214392	2728	AA8	GUJARATI LETTER NA	Gujarati	Lo	3	L	0	N	0
