"languageCode","translationId","languageName","languageNameInEnglish","dialect","homeDomain","title","description","Redistributable","Copyright","UpdateDate","publicationURL","OTbooks","OTchapters","OTverses","NTbooks","NTchapters","NTverses","DCbooks","DCchapters","DCverses","FCBHID","Certified","inScript","swordName","rodCode","textDirection","downloadable","font","shortTitle","PODISBN","script","sourceDate"
"ake","akeNT","Akawaio","Akawaio","","ebible.org","Wakʉ Itekare: Emenna' Pe Ekonekan Nɨto'","New Testament in Akawaio (GY:ake:Akawaio)","True","Copyright © 2010 Wycliffe Bible Translators, Inc.","2014-04-21","http://ebible.org/akeNT/","0","0","0","27","260","7940","0","0","0","AKEBSS","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","ake2010eb","","ltr","True","Gentium Plus","Akawaio NT","978-1-5313-0023-4","Latin","2016-09-15"
"akh","akh","Angal Heneng","Angal Heneng","Waola","png.bible","Angal Heneng mbuk Ngaoran Angal Bib Hobau Sao ngo wi o","The New Testament in the Angal Heneng Language of Papua New Guinea","False","Copyright © 1978 The Bible Society of Papua New Guinea","2020-11-10","http://png.bible/akh/","0","0","0","27","260","7775","0","0","0","AKHBSP","False","http://inscript.org/?v1=GN1_1&w1=bible&t1=local%3A","akh1978eb","","ltr","True","Andika","Angal Heneg NT","978-1-5313-0024-1","Latin","2020-10-09"
"akp","akp","Siwu","Siwu","","ebible.org","Ndamu Ɣɛtɛ Siwu","Siwu: Ndamu Ɣɛtɛ Siwu New Testament","False","Copyright © 2008 Wycliffe Bible Translators, Inc.","2020-11-30","http://ebible.org/akp/","0","0","0","27","260","7939","0","0","0","AKPWBT","False","http://inscript.org/?v1=GN1_1&w1=bible&t1=local%3A","akp2008eb","04728","ltr","True","DejaVu Serif","Siwu NT","","Latin","2020-12-01"
"alh","alh","Alawa","Alawa","","ebible.org","Alawa Song Buk","Assorted songs in the Alawa language of Australia","True","Copyright © 1991 Wycliffe Bible Translators","2021-11-23","http://ebible.org/alh/","0","0","0","0","0","0","0","0","0","ALHWBT","False","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","alh1991eb","","ltr","True","DejaVu Serif","Alawa Song Book","","Latin","2021-11-24"
"alp","alpNT","Alune","Alune","","alkitab.pw","Janji beluke","New Testament in Alune","True","Copyright © 2012 Wycliffe Bible Translators, Inc.","2014-04-21","http://alkitab.pw/alpNT/","0","0","0","27","260","7837","0","0","0","ALPWBT","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","alp2012eb","","ltr","True","Gentium","Alune NT","978-1-5313-0025-8","Latin","2014-05-15"
"alq","alqALGNT","Algonquin","Algonquin","","ebible.org","Kije Manido Odikido8in: Ocki Mazinaigan","Algonquin: Algonquin New Testament New Testament only","True","Copyright © 1998 Canadian Bible Society","2014-04-21","http://ebible.org/alqALGNT/","0","0","0","27","260","7923","0","0","0","ALQCBS","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","alqALG1998eb","","ltr","True","Gentium","Algonquin NT","978-1-5313-0026-5","Latin","2014-04-22"
"als","alsSHQ","shqiptar","Albanian, Tosk","","ebible.org","Bibla e Shenjtë","The Holy Bible in Albanian","True","public domain","2014-09-04","http://ebible.org/alsSHQ/","39","929","23145","27","260","7957","0","0","0","ALSSHQ","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","alsSHQ1994eb","","ltr","True","Gentium","Albanian Bible","978-1-5313-0027-2","Latin","2020-10-09"
"aly","aly","Alyawarr","Alyawarr","","ebible.org","Alyawarr Bible","Portions of the Holy Bible in the Alyawarr language of Australia","True","Copyright © 2009 Wycliffe Bible Translators","2023-11-10","http://ebible.org/aly/","5","107","2204","17","199","6124","0","0","0","ALYWBT","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","aly2009eb","","ltr","True","DejaVu Serif","Alyawarr Bible","","Latin","2023-11-10"
"ame","ameNT","Yanesha'","Yanesha'","","ebible.org","Yompor Poʼñoñ ñeñt ̃ attõ Yepartseshar Jesucristo eʼñe etserra aʼpoctaterrnay Yomporesho","New Testament in Yanesha' (PE:ame:Yanesha')","True","Copyright © 2008 Wycliffe Bible Translators, Inc.","2014-04-30","http://ebible.org/ameNT/","0","0","0","27","260","7738","0","0","0","AMETBL","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","ame2008eb","","ltr","True","Gentium","Yanesha' NT","978-1-5313-0028-9","Latin","2014-05-01"
"amf","amf","Banna","Hamer-Banna","","ebible.org","Haalin Mallano","The New Testament in the Banna language of Ethiopia","True","Copyright © 2014 SIM International","2014-10-15","http://ebible.org/amf/","0","0","0","27","260","7839","0","0","0","AMFSIM","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","amf2014eb","","ltr","True","Gentium","Banna NT","978-1-5313-0029-6","Latin","2021-11-30"
"amh","amh","አማርኛ","Amharic","","ebible.org","መጽሐፍ ቅዱስ","The New Testament in the Amharic language of Ethiopia","True","Copyright © 1962, 2003 United Bible Societies","2014-09-09","http://ebible.org/amh/","0","0","0","27","260","7369","0","0","0","AMHAMH","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","amh2003eb","","ltr","True","Abyssinica SIL","Amharic NT","978-1-5313-0788-2","Amheric","2020-10-09"
"amk","amk","Ambai","Ambai","","ebible.org","Sempaisi Ne Kaiwo Mirarebanai","New Testament in Ambai","True","Copyright © 2010 Wycliffe Bible Translators, Inc.","2015-03-17","http://ebible.org/amk/","0","0","0","27","260","7901","0","0","0","AMKWBT","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","amk2010eb","","ltr","True","Gentium Plus","Ambai NT","978-1-5313-0030-2","Latin","2015-03-18"
"amm","amm","Sawiyanu","Ama","","png.bible","Kotoni Imo Itouniyaimo","The New Testament in the Ama language of Papua New Guinea. The Ama language is also known as the Sawiyanu language.","True","Copyright © 1990, 2009 Wycliffe Bible Translators, Inc.","2012-11-17","http://png.bible/amm/","0","0","0","27","260","7910","0","0","0","AMMTBL","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","amm2009eb","","ltr","True","Andika","Ama NT","978-1-5313-0031-9","Latin","2020-10-09"
"amn","amn-amanab","Amanab","Amanab","Amanab","png.bible","Godna mo Awai mona go","The New Testament in the Amanab language of Papua New Guinea","True","Copyright © 2001 The Bible Society of Papua New Guinea","2013-01-07","http://png.bible/amn-amanab/","0","0","0","27","260","7916","0","0","0","AMNANA","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","amnA2001eb","","ltr","True","Andika","Amanab NT","978-1-5313-0032-6","Latin","2020-10-09"
"amn","amn-n","Amanab (Naineri)","Amanab","Naineri","png.bible","Godna mo Awai mona go","The New Testament in the Naineri dialect of the Amanab language of Papua New Guinea","True","Copyright © 2011 Wycliffe Bible Translators, Inc.","2012-01-19","http://png.bible/amn-n/","0","0","0","27","260","7916","0","0","0","AMNNAI","False","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","amnN2011eb","","ltr","True","Andika","Amanab Naineri NT","978-1-5313-0033-3","Latin","2011-07-22"
"amo","amo","Timap","Amo","","ebible.org","Amo New Testament","The New Testament in the Amo language of Nigeria","True","Copyright © 2020 Door43 World Missions Community","2020-07-06","http://ebible.org/amo/","0","0","0","27","260","7956","0","0","0","AMOD43","False","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","amo2020eb","","ltr","True","DejaVu Serif","Amo NT","","Latin","2020-07-06"
"amp","amp","Alamblak","Alamblak","","png.bible","Bro Nkifrarhu Mrokfot","The New Testament in the Alamblak language of Papua New Guinea","True","Copyright © 2003, 2004 Wycliffe Bible Translators, Inc.","2011-07-22","http://png.bible/amp/","0","0","0","27","260","7800","0","0","0","AMPWBT","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","amp2004eb","","ltr","True","Gentium Plus","Alamblak NT","","Latin","2011-07-22"
"amr","amrNT","Amarakaeri","Amarakaeri","","ebible.org","Jesucristo oy oa’pak: Kenda Jesucristoa; monigka’uyatenok; Diostaj mo’manopo’yarea’ika’ne","New Testament in Amarakaeri (PE:amr:Amarakaeri)","True","Copyright © 2008 Wycliffe Bible Translators, Inc.","2024-02-11","http://ebible.org/amrNT/","0","0","0","27","260","7668","0","0","0","AMRWBT","False","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","amrNT2008eb","","ltr","True","Gentium","New Testament in Amarakaeri (PE:amr:Amarakaeri)","","Latin","2014-04-22"
"amu","amuNT","Guerrero Amuzgo","Amuzgo, Guerrero","","ebible.org","Ñʼoom xco na tqueⁿ tyʼo̱o̱tsʼom cantxja ʼnaaʼ Jesucristo","New Testament in Amuzgo, Guerrero (MX:amu:Amuzgo, Guerrero)","True","Copyright © 1999 Wycliffe Bible Translators, Inc.","2024-02-11","http://ebible.org/amuNT/","0","0","0","27","260","7947","0","0","0","AMUWBT","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","amu1999eb","","ltr","True","Gentium Plus","New Testament in Amuzgo, Guerrero (MX:amu:Amuzgo, Guerrero)","","Latin","2014-04-22"
"amx","amx","Anmayerr","Anmatyerre","","ebible.org","Anmatyerr Bible","Portions of the Holy Bible in the Anmatyerr language of Australia","True","Copyright © 2015 Wycliffe Bible Translators","2020-07-24","http://ebible.org/amx/","0","0","0","11","116","4061","0","0","0","AMXWBT","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","amx2015eb","","ltr","True","Gentium Plus","Anmatyerr Bible","","Latin","2020-07-24"
"anh","anh","Nend","Nend","","png.bible","MAK Yakŋ Ohɨrand Ya Imbɨr Makɨv Mpamar","Mark in Nend","True","Copyright © 2003 Pioneer Bible Translators","2024-02-11","http://png.bible/anh/","0","0","0","1","16","635","0","0","0","ANHPBT","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","anh2003eb","","ltr","True","Gentium Plus","Mark in Nend","","Latin","2019-12-30"
"anv","anvNT","Denya","Denya","","ebible.org","Ŋwɛ menomenyɛɛ́ mekɛ́","New Testament in Denya (CM:anv:Denya)","True","Copyright © 2010 Wycliffe Bible Translators, Inc.","2024-02-11","http://ebible.org/anvNT/","0","0","0","27","260","7944","0","0","0","ANVWBT","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","anv2010eb","","ltr","True","Gentium","New Testament in Denya (CM:anv:Denya)","","Latin","2014-04-23"
